Time,SWC_10_cm
2022-02-12 00:00:00,0.02888
2022-02-12 10:00:00,0.03037
2022-02-12 20:00:00,0.02393
2022-02-13 06:00:00,0.02956
2022-02-13 16:00:00,0.02339
2022-02-14 02:00:00,0.0908
2022-02-14 12:00:00,0.07879
2022-02-14 22:00:00,0.06987
2022-02-15 08:00:00,0.06869
2022-02-15 18:00:00,0.05494
2022-02-16 04:00:00,0.05688
2022-02-16 14:00:00,0.04871
2022-02-17 00:00:00,0.04896
2022-02-17 10:00:00,0.05233
2022-02-17 20:00:00,0.04751
2022-02-18 06:00:00,0.06768
2022-02-18 16:00:00,0.05658
2022-02-19 02:00:00,0.05547
2022-02-19 12:00:00,0.06678
2022-02-19 22:00:00,0.06407
2022-02-20 08:00:00,0.0882
2022-02-20 18:00:00,0.0944
2022-02-21 04:00:00,0.0828
2022-02-21 14:00:00,0.07848
2022-02-22 00:00:00,0.0864
2022-02-22 10:00:00,0.07159
2022-02-22 20:00:00,0.04869
2022-02-23 06:00:00,0.04525
2022-02-23 16:00:00,0.03532
2022-02-24 02:00:00,0.02805
2022-02-24 12:00:00,0.02498
2022-02-24 22:00:00,0.02325
2022-02-25 08:00:00,0.02313
2022-02-25 18:00:00,0.02022
2022-02-26 04:00:00,0.02085
2022-02-26 14:00:00,0.01891
2022-02-27 00:00:00,0.01872
2022-02-27 10:00:00,0.0194
2022-02-27 20:00:00,0.01662
2022-02-28 06:00:00,0.01779
2022-02-28 16:00:00,0.01538
2022-03-01 02:00:00,0.01624
2022-03-01 12:00:00,0.01536
2022-03-01 22:00:00,0.01491
2022-03-02 08:00:00,0.01635
2022-03-02 18:00:00,0.0135
2022-03-03 04:00:00,0.01513
2022-03-03 14:00:00,0.01398
2022-03-04 00:00:00,0.01443
2022-03-04 10:00:00,0.01481
2022-03-04 20:00:00,0.01342
2022-03-05 06:00:00,0.0149
